"state","gconcept_best","rank","day"
"Nebraska","park",2,"Overall"
"Delaware","cell phone store",2,"Overall"
"Maine","park",2,"Overall"
"New Jersey","historical landmark",1,"Overall"
"Indiana","farm",2,"Overall"
"California","salvage yard",2,"Overall"
"Idaho","park",2,"Overall"
"Kentucky","golf course",2,"Overall"
"West Virginia","coffee shop",2,"Overall"
"Wisconsin","butcher shop",2,"Overall"
"Vermont","bakery",2,"Overall"
"Georgia","garden center",2,"Overall"
"Rhode Island","park",2,"Overall"
"Kansas","home improvement store",2,"Overall"
"Maryland","beer store",2,"Overall"
"Mississippi","liquor store",2,"Overall"
"Iowa","park",2,"Overall"
"North Dakota","liquor store",2,"Overall"
"Hawaii","bed and breakfast",2,"Overall"
"Virginia","museum",2,"Overall"
"Arkansas","american restaurant",1,"Overall"
"Ohio","historical landmark",2,"Overall"
"Washington","stadium",2,"Overall"
"District of Columbia","store",2,"Overall"
"South Dakota","coffee shop",2,"Overall"
"Michigan","farm equipment supplier",3,"Wednesday"
"Nevada","thai restaurant",3,"Wednesday"
"Illinois","performing arts group",3,"Wednesday"
"Wisconsin","banquet hall",3,"Wednesday"
"California","general store",3,"Wednesday"
"Oklahoma","cosmetics store",3,"Wednesday"
"Texas","family restaurant",3,"Wednesday"
"New Hampshire","furniture store",3,"Wednesday"
"North Carolina","tree farm",3,"Wednesday"
"Arizona","mattress store",3,"Wednesday"
"New Mexico","gift shop",3,"Wednesday"
"Florida","event management company",3,"Wednesday"
"Delaware","shoe store",3,"Wednesday"
"New York","storage facility",3,"Wednesday"
"Utah","lodge",3,"Wednesday"
"Pennsylvania","greenhouse",3,"Wednesday"
"Indiana","cosmetics store",3,"Wednesday"
"Nebraska","home improvement store",3,"Wednesday"
"South Carolina","cosmetics store",3,"Wednesday"
"Louisiana","light rail station",3,"Wednesday"
"Tennessee","car race track",3,"Wednesday"
"New Jersey","retirement community",3,"Wednesday"
"Massachusetts","hiking area",3,"Wednesday"
"Minnesota","art center",3,"Wednesday"
"Iowa","home goods store",3,"Wednesday"
"Alabama","condominium complex",3,"Wednesday"
"Mississippi","breakfast restaurant",3,"Wednesday"
"Kentucky","supermarket",3,"Wednesday"
"Maryland","family restaurant",3,"Wednesday"
"Oregon","jewelry store",3,"Wednesday"
"Missouri","cosmetics store",2,"Wednesday"
"Arkansas","american restaurant",3,"Wednesday"
"Vermont","coffee shop",3,"Wednesday"
"Georgia","tree farm",3,"Wednesday"
"Maine","drugstore",3,"Wednesday"
"Virginia","outdoor sports store",3,"Wednesday"
"Connecticut","thrift store",3,"Wednesday"
"Washington","seafood market",3,"Wednesday"
"Ohio","cosmetics store",3,"Wednesday"
"Kansas","supermarket",3,"Wednesday"
"Idaho","movie theater",3,"Wednesday"
"West Virginia","family restaurant",3,"Wednesday"
"District of Columbia","museum",3,"Wednesday"
"Hawaii","shoe store",3,"Wednesday"
"South Dakota","department store",3,"Wednesday"
"Illinois","place of worship",3,"Thursday"
"Michigan","plant nursery",3,"Thursday"
"Colorado","railroad company",2,"Thursday"
"Pennsylvania","auction house",3,"Thursday"
"Massachusetts","city hall",3,"Thursday"
"New Mexico","gift shop",3,"Thursday"
"New York","art center",3,"Thursday"
"Maine","park",3,"Thursday"
"Texas","ballroom",3,"Thursday"
"North Carolina","art gallery",3,"Thursday"
"Nevada","parking lot",3,"Thursday"
"South Carolina","condominium complex",3,"Thursday"
"Wisconsin","car wash",3,"Thursday"
"Utah","motel",3,"Thursday"
"Connecticut","state park",3,"Thursday"
"Minnesota","dog park",3,"Thursday"
